Stop Name,Depoh,Route Number,Direction
SL283 DATARAN BANDAR BARU SELAYANG,Batu Caves,151,A-B
SL287 STADIUM MPS (BARAT),Batu Caves,151,A-B
SL288 BULATAN BERINGIN SELAYANG,Batu Caves,151,A-B
SL289 TAMAN SELAYANG SEGAR,Batu Caves,151,A-B
SL290 TAMAN SELAYANG INDAH,Batu Caves,151,A-B
SL37 SELAYANG BARU (BARAT),Batu Caves,151,A-B
SL536 SELAYANG BARU (UTARA),Batu Caves,151,A-B
SL43 PERUMAHAN SELAYANG BARU,Batu Caves,151,A-B
SL44 BALAI POLIS SELAYANG BARU (OPP),Batu Caves,151,A-B
SL34 GIANT SELAYANG,Batu Caves,151,A-B
SL538 POS MALAYSIA SELAYANG,Batu Caves,151,A-B
SL539 FLAT PASAR BORONG,Batu Caves,151,A-B
KL840 TAMAN SRI SELAYANG,Batu Caves,151,A-B
KL1498 KOMERSIAL KIP (OPP),Batu Caves,151,A-B
(M) KL1505 KTM TAMAN WAHYU,Batu Caves,151,A-B
KL588 TAMAN KOK LIAN/ PPR PEKAN BATU,Batu Caves,151,A-B
KL598 SK KAMPUNG BATU,Batu Caves,151,A-B
KL599 TAMAN IMPIAN,Batu Caves,151,A-B
KL600 BATU KENTOMEN,Batu Caves,151,A-B
KL601 TAMAN RAINBOW,Batu Caves,151,A-B
KL602 TAMAN KAYA,Batu Caves,151,A-B
KL1578 MRT JALAN IPOH PINTU B,Batu Caves,151,A-B
KL603 SMK (P) JLN IPOH (OPP),Batu Caves,151,A-B
KL604 BATU COMPLEX BUSINESS CENTRE,Batu Caves,151,A-B
KL605 TAMAN MILLION,Batu Caves,151,A-B
(M) KL606 RIVERWALK VILLAGE,Batu Caves,151,A-B
KL607 MRT SENTUL BARAT PINTU C,Batu Caves,151,A-B
KL608 HOTEL TROPICANA,Batu Caves,151,A-B
KL609 SMK SENTUL UTAMA,Batu Caves,151,A-B
KL2249 PERKIM,Batu Caves,151,A-B
KL50 DAMAI HOSPITAL,Batu Caves,151,A-B
(M) KL52 MONORAIL CHOWKIT,Batu Caves,151,A-B
KL69 PASAR CHOW KIT,Batu Caves,151,A-B
KL70 SRI AMAR,Batu Caves,151,A-B
KL71 KOMERSIAL TAR,Batu Caves,151,A-B
KL35 MAJU JUNCTION,Batu Caves,151,A-B
KL36 KOMPLEKS PERTAMA,Batu Caves,151,A-B
KL37 GLOBE KL,Batu Caves,151,A-B
KL38 COLISEUM,Batu Caves,151,A-B
KL114 DATARAN MERDEKA,Batu Caves,151,A-B
KL1934 MUZIUM TEKSTIL NEGARA,Batu Caves,151,A-B
KL103 MAYBANK,Batu Caves,151,A-B
